feature,mean_abs_shap
lag_1,0.23207575
lag_28,0.15893842
dow_6,0.13065591
lag_3,0.103497565
lag_30,0.09698348
lag_2,0.09195457
is_month_end,0.06704136
lag_14,0.065081194
dow_5,0.060604732
dow_3,0.029584534
dow_2,0.027499769
dom_21,0.026572507
dom_5,0.025161115
day_official_holiday,0.025080798
is_payday_1,0.022743855
roll_std_14,0.022510923
roll_mean_7,0.021962663
dom_26,0.021750623
dom_17,0.021543795
dom_25,0.019633656
